what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326521994235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326521994932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326521996643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326522005431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326522007105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326523341907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523342166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523342627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523343021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523343276
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523343585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523343835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523344106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523344312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523344540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523345011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326523345338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326523347271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326523370888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326523372216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326595798935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326595801795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326595802783
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326595803648
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1326595804606
